	topic	words
20	20	[('la', 0.18456933821084137), ('ha', 0.05010530983261279), ('fa', 0.046558031260392416), ('hu', 0.02261390089790489), ('bom', 0.01673872076266489), ('alleluia', 0.016295310941137345), ('liere', 0.014410819199645273), ('vive', 0.014299966744263386), ('tiere', 0.013967409378117725), ('es', 0.012748032368916971), ('dobbe', 0.012637179913535085), ('ta', 0.010530983261279237), ('mi', 0.009533311162842256), ('lette', 0.00875734397516905), ('le', 0.00875734397516905), ('don', 0.006761999778295089), ('geux', 0.006318589956767542), ('sol', 0.005875180135239995), ('deur', 0.005099212947566789), ('ho', 0.004988360492184902), ('vvant', 0.004655803126039242), ('tan', 0.004544950670657355), ('dop', 0.0044340982152754685), ('med', 0.0042123933045116945), ('ut', 0.003768983482984148), ('ti', 0.003768983482984148), ('nut', 0.0036581310276022614), ('noe', 0.003547278572220375), ('velsen', 0.003547278572220375), ('fal', 0.003103868750692828)]
21	21	[('liefde', 0.009012232103308461), ('vreugd', 0.008756686769566254), ('deur', 0.007461923745272411), ('rein', 0.007359705611775529), ('denkt', 0.006167160720978568), ('tis', 0.006150124365395754), ('liefd', 0.005996797165150431), ('wt', 0.005979760809567618), ('nieuwe', 0.00580939725373948), ('tijd', 0.005127943030426931), ('iaer', 0.004991652185764421), ('klaar', 0.004957579474598794), ('kracht', 0.004923506763433167), ('heel', 0.004855361341101911), ('elk', 0.004276125251286245), ('oft', 0.004037616273126853), ('blij', 0.004037616273126853), ('voorwaar', 0.003952434495212784), ('voort', 0.0037820709393846467), ('druk', 0.0037479982282190194), ('neemt', 0.0036968891614705783), ('toch', 0.003390234760979931), ('diet', 0.003219871205151794), ('sijt', 0.00320283484956898), ('ghemoet', 0.0031857984939861663), ('spoed', 0.0031857984939861663), ('zwaar', 0.003168762138403353), ('prins', 0.003151725782820539), ('dies', 0.003100616716072098), ('hart', 0.003083580360489284)]
22	22	[('kerk', 0.011656143759106362), ('gods', 0.01033158196829882), ('geloof', 0.00825643516270034), ('godes', 0.0061812883571018586), ('christus', 0.006092984237714689), ('deur', 0.005695615700472427), ('christen', 0.0052982471632301645), ('werk', 0.00516579098414941), ('zou', 0.0048567265662943174), ('iae', 0.004812574506600733), ('welk', 0.004680118327519979), ('vlees', 0.004591814208132809), ('kerken', 0.0045476621484392245), ('nieuwe', 0.004459358029052055), ('toch', 0.004371053909664886), ('hen', 0.004238597730584132), ('recht', 0.004017837432116208), ('hand', 0.003885381253035454), ('doed', 0.003885381253035454), ('mee', 0.0037970771336482845), ('woord', 0.0037529250739547), ('heren', 0.0037529250739547), ('bloed', 0.0035321647754867763), ('oude', 0.0035321647754867763), ('man', 0.0034880127157931916), ('hemel', 0.003443860656099607), ('zegt', 0.003399708596406022), ('eerste', 0.0033555565367124375), ('eigen', 0.003134796238244514), ('god', 0.0030906441785509293)]
23	23	[('zoete', 0.0239332152187622), ('mond', 0.01537491366625627), ('lieve', 0.013362962073211014), ('ei', 0.013002612534158133), ('ach', 0.0128524668928861), ('lipjes', 0.010720398786823218), ('kusjes', 0.010299990991261524), ('kussen', 0.007206990781057626), ('lust', 0.006876670370259151), ('vreugd', 0.00669649560073271), ('kom', 0.006666466472478304), ('kus', 0.006456262574697456), ('lusjes', 0.006125942163898982), ('lippen', 0.0056154469835740664), ('minne', 0.005555388727065253), ('ziel', 0.0049848352902315245), ('lief', 0.0047746313924506775), ('venus', 0.0047446022641962704), ('net', 0.004354223596888983), ('rode', 0.004264136212125762), ('zieltje', 0.004023903186090508), ('schoot', 0.003993874057836101), ('kust', 0.003993874057836101), ('min', 0.003963844929581694), ('brand', 0.0037836701600552536), ('nectar', 0.00372361190354644), ('twee', 0.00372361190354644), ('boezem', 0.003693582775292033), ('ay', 0.0036635536470376266), ('rust', 0.00363352451878322)]
24	24	[('neen', 0.012135242812533649), ('weet', 0.009755572305373102), ('lang', 0.006482179390545925), ('weg', 0.006428340691288899), ('ander', 0.006320663292774847), ('sou', 0.006277592333369226), ('ei', 0.006029934316786906), ('tijd', 0.005502315064068052), ('man', 0.004996231291052008), ('kind', 0.004737805534618284), ('anders', 0.004662431355658447), ('zeid', 0.004630128136104232), ('zegt', 0.004619360396252827), ('beter', 0.004597824916550016), ('er', 0.004307095940562076), ('zeggen', 0.0041671153224938084), ('mee', 0.0037794766878432215), ('lust', 0.003736405728437601), ('waarom', 0.0036502638096263594), ('ja', 0.003391838053192635), ('och', 0.003359534833638419), ('alleen', 0.0032626251749757725), ('zeg', 0.0032518574351243675), ('acht', 0.0032087864757187464), ('heel', 0.003154947776461721), ('min', 0.0031441800366103154), ('heen', 0.0031118768170561), ('houdt', 0.0030688058576504793), ('zoudt', 0.0030688058576504793), ('zien', 0.0030472703779476687)]
25	25	[('zee', 0.03069954705586311), ('schip', 0.020298607616171783), ('land', 0.01288374433819829), ('wind', 0.011810098976681765), ('mee', 0.011071967790639155), ('baren', 0.010300285187049153), ('varen', 0.010199630934406978), ('voort', 0.007515517530615669), ('ree', 0.00731420902533132), ('reis', 0.006475423586646536), ('komen', 0.005905049488340882), ('winden', 0.00560308673041436), ('water', 0.0055359838953195776), ('schipper', 0.005502432477772186), ('vissen', 0.00536822680758262), ('zeilen', 0.005267572554940446), ('menig', 0.0052340211373930546), ('schepen', 0.005099815467203489), ('boord', 0.005066264049656098), ('vaart', 0.004932058379466532), ('vis', 0.004797852709276967), ('strand', 0.004764301291729576), ('hoort', 0.0044623385338030536), ('storm', 0.00439523569870827), ('vloed', 0.0036906559302130517), ('klaar', 0.0036906559302130517), ('woeste', 0.00365710451266566), ('klip', 0.0035900016775708772), ('hand', 0.003455796007381312), ('haven', 0.0032544875020969638)]
26	26	[('geld', 0.017011880325931455), ('enen', 0.01424395098588045), ('man', 0.01088511538222305), ('hun', 0.010698513404242086), ('boer', 0.010325309448280152), ('oft', 0.007961684393854574), ('vrouw', 0.006468868570006842), ('huis', 0.00575356098774647), ('sou', 0.0053803570317845365), ('boeren', 0.005287056042794054), ('ian', 0.004976052746159109), ('twee', 0.003949741867263793), ('ander', 0.003949741867263793), ('er', 0.0036076382409653543), ('hoort', 0.0036076382409653543), ('zei', 0.00357653791130186), ('meest', 0.0033899359333208934), ('zijnen', 0.0033277352739939045), ('maken', 0.0033277352739939045), ('jan', 0.003234434285003421), ('moeder', 0.0030789326366859487), ('grote', 0.00301673197735896), ('hans', 0.0029234309883684768), ('griet', 0.0028301299993779934), ('achter', 0.002581327362070038), ('wijf', 0.0025502270324065436), ('zegt', 0.0025502270324065436), ('kleeren', 0.002519126702743049), ('sij', 0.0024880263730795546), ('eten', 0.0024258257137525657)]
27	27	[('lust', 0.012210259316225477), ('mens', 0.01019995142880272), ('werelds', 0.007461075582179767), ('rust', 0.0074205995844464235), ('ziel', 0.007285679592001943), ('schat', 0.0072047275965352545), ('geld', 0.007177743598046358), ('goud', 0.006880919614668502), ('wereld', 0.006840443616935157), ('zich', 0.0067729836207129175), ('vreugd', 0.006692031625246229), ('leven', 0.0066515556275128845), ('rijkdom', 0.006449175638846164), ('leeft', 0.0063142556464016834), ('deugd', 0.005896003669823795), ('rijk', 0.0058150516743571065), ('gemoed', 0.0049515637227124315), ('pracht', 0.004924579724223535), ('hert', 0.004843627728756847), ('alles', 0.004344423756712269), ('aardse', 0.0040610917725788604), ('hoog', 0.003939663779378828), ('wens', 0.003872203783156588), ('acht', 0.00385871178391214), ('ieder', 0.003737283790712108), ('deel', 0.003561887800534283), ('hof', 0.0033729998111120107), ('zoekt', 0.0032785558164008743), ('schatten', 0.0031706198224452898), ('schijn', 0.0031571278232008417)]
28	28	"[('god', 0.013095798816021574), ('word', 0.009687935795491277), ('geest', 0.009207694936229555), ('nog', 0.009170753331670962), ('ziel', 0.00905992851799518), ('jezus', 0.0076653829459082555), ('gods', 0.007480674923115285), ('leven', 0.007212848290065479), ('hert', 0.007000434063853564), ('naa', 0.006113835554447307), ('alles', 0.0052734140507392935), ('dog', 0.005005587417689488), ('zoon', 0.0045899943664053046), ('zig', 0.004525346558427765), ('zich', 0.004488404953869172), ('noit', 0.004239049123098661), ('steeds', 0.0041836367162607704), ('eeuwig', 0.004118988908283231), ('heil', 0.003998928693467801), ('kom', 0.0038511622752334246), ('jesus', 0.0037865144672558854), (""'re"", 0.003666454252440455), ('ach', 0.0036295126478818607), ('wild', 0.0035371586364853756), ('niets', 0.003454040026228539), ('gemoed', 0.003389392218251), ('alleen', 0.0032785674045752175), ('zelfs', 0.003232390398876975), ('weg', 0.0032139195965976784), ('vind', 0.0028999159578496293)]"
29	29	[('wijn', 0.054058638921089086), ('drinken', 0.01778393508439594), ('sa', 0.01376911985071673), ('vrolijk', 0.01340156634340807), ('drinkt', 0.012185812434617886), ('lustig', 0.010348044898074586), ('bier', 0.009980491390765924), ('vreugd', 0.008962650908988097), ('bacchus', 0.007803443693630015), ('zingen', 0.007690350306765812), ('nat', 0.006446323051259578), ('glas', 0.006389776357827476), ('elk', 0.006107042890666968), ('hei', 0.005965676157086715), ('drank', 0.005711216036642258), ('vat', 0.005400209222765699), ('bachus', 0.005117475755605191), ('brengt', 0.005004382368740988), ('dorst', 0.0048347422884446834), ('klinken', 0.004184455313975515), ('dronken', 0.00401481523367921), ('drink', 0.00401481523367921), ('gedronken', 0.00398654188696316), ('venus', 0.003929995193531058), ('geld', 0.0039017218468150074), ('fluit', 0.003816901806666855), ('volle', 0.003675535073086601), ('vrienden', 0.003675535073086601), ('dronk', 0.0036189883796544997), ('kom', 0.0035624416862223983)]
30	30	"[('nog', 0.02054540469931784), ('dog', 0.012691706042671225), ('lief', 0.01188537147833379), ('jk', 0.011498330887451821), (""'er"", 0.010498476027673401), ('ag', 0.008450386234256318), ('zoete', 0.006466803205986228), ('kind', 0.005853988937089777), ('trouw', 0.005418568272347562), ('zou', 0.005176667903046332), ('vrouw', 0.0049347675337451016), ('er', 0.004676740473157122), ('nagt', 0.004628360399296877), ('og', 0.004628360399296877), ('vader', 0.004515473560289636), ('leven', 0.004354206647422148), ('daarom', 0.004176813043267912), ('meisje', 0.004047799512973923), ('adieu', 0.004015546130400426), ('jonkman', 0.003934912673966682), ('mogt', 0.003886532600106436), ('jonge', 0.003822025834959441), ('liefde', 0.003789772452385944), ('kom', 0.0037575190698124466), ('mee', 0.003741392378525698), ('heel', 0.0037091389959522003), ('min', 0.0036930123046654516), ('trouwen', 0.0036446322308052058), ('man', 0.0036446322308052058), ('jn', 0.003531745391797965)]"
31	31	[('gods', 0.021424578603371172), ('christus', 0.017404110767113862), ('god', 0.013372893016855866), ('woord', 0.009782421740626076), ('zullen', 0.009352425180598554), ('hoort', 0.00750343997248022), ('moeten', 0.006729446164430684), ('heren', 0.006256449948400413), ('och', 0.005632954936360509), ('vrienden', 0.005622205022359821), ('klaar', 0.005589955280357757), ('worden', 0.0049234606123151016), ('toch', 0.004869711042311662), ('alzo', 0.004482714138286894), ('horen', 0.004428964568283454), ('mensen', 0.00439671482628139), ('fijn', 0.0043859649122807015), ('geest', 0.00428921568627451), ('wereld', 0.004278465772273822), ('voort', 0.004170966632266942), ('waarheid', 0.003988218094255246), ('weg', 0.003977468180254558), ('broeders', 0.003923718610251118), ('zeid', 0.00391296869625043), ('paulus', 0.003891468868249054), ('woorden', 0.003869969040247678), ('vlees', 0.003816219470244238), ('mogen', 0.00375171998624011), ('komen', 0.0036334709322325422), ('weest', 0.003558221534227726)]
32	32	[('prins', 0.012347739028867011), ('land', 0.009886534290005005), ('stad', 0.00861421658601702), ('vijand', 0.005777573836142166), ('graaf', 0.005402135825129318), ('god', 0.005339562823293843), ('waren', 0.005089270815951944), ('jn', 0.004838978808610045), ('held', 0.004567829133989654), ('kwamen', 0.00450525613215418), ('geweld', 0.004088102786584349), ('jck', 0.003942099115634907), ('bloed', 0.003942099115634907), ('holland', 0.003796095444685466), ('soldaten', 0.0037335224428499915), ('steden', 0.0035249457700650758), ('schepen', 0.0034832304355080926), ('tegen', 0.0033789420991156348), ('volk', 0.0033372267645586516), ('hoort', 0.0032537960954446853), ('elk', 0.0032329384281661938), ('paus', 0.003212080760887702), ('spaensche', 0.0031912230936092106), ('kwam', 0.003170365426330719), ('komen', 0.003128650091773736), ('kloek', 0.003128650091773736), ('landen', 0.0031077924244952444), ('veld', 0.003086934757216753), ('onzen', 0.0030660770899382612), ('menig', 0.0030660770899382612)]
33	33	[('zich', 0.0225540785292007), ('god', 0.020503707753818816), ('hert', 0.016163756279260498), ('vw', 0.007073779175067491), ('ren', 0.006595359327478386), ('er', 0.006321976557427468), ('zijns', 0.006287803711171104), ('gods', 0.006253630864914738), ('zelfs', 0.00502340839968561), ('dies', 0.004784198475891057), ('mens', 0.004408297167071046), ('lijck', 0.004339951474558316), ('uws', 0.004271605782045587), ('heil', 0.004134914397020128), ('kracht', 0.004066568704507398), ('wiens', 0.003998223011994669), ('dij', 0.003998223011994669), ('thert', 0.003895704473225575), ('deuchdt', 0.00386153162696921), ('nood', 0.0038273587807128454), ('aard', 0.003793185934456481), ('ach', 0.0037248402419437516), ('oog', 0.0036223217031746574), ('leven', 0.003553976010661928), ('doe', 0.0034172846256364693), ('hoop', 0.0034172846256364693), ('heen', 0.00334893893312374), ('endt', 0.00334893893312374), ('mensen', 0.0032805932406110103), ('lang', 0.003109729009329187)]
34	34	[('jou', 0.04404737771857172), ('je', 0.02221192551620283), ('jij', 0.013118647012829053), ('meisje', 0.009209116446091917), ('ja', 0.007934899076192407), ('kom', 0.007587385248037995), ('lieve', 0.006515884277895225), ('och', 0.006457965306536156), ('meid', 0.006168370449740813), ('ien', 0.005762937650227332), ('zoete', 0.005705018678868263), ('zel', 0.00474935565144363), ('ei', 0.004430801308968752), ('mee', 0.004372882337609684), ('er', 0.004372882337609684), ('jan', 0.004228084909212012), ('datje', 0.0041412064521734095), ('besje', 0.003909530566737135), ('zie', 0.003851611595378066), ('mooi', 0.0036199357099417915), ('ion', 0.0035909762242622573), ('hei', 0.0034751382815441196), ('zen', 0.0033593003388259824), ('trijn', 0.0033013813674669136), ('wilje', 0.003243462396107845), ('sou', 0.003243462396107845), ('mit', 0.003156583939069242), ('kees', 0.0030986649677101734), ('weet', 0.0030117865106715704), ('hebje', 0.0030117865106715704)]
35	35	[('hun', 0.04184480428859402), ('god', 0.019405001882905434), ('zich', 0.009990474713687615), ('hart', 0.007841747336242606), ('hen', 0.00719934430587245), ('leven', 0.006933522362271006), ('gods', 0.006867066876370644), ('volk', 0.0068006113904702835), ('zijne', 0.006667700418669561), ('heil', 0.0056265644728972376), ('magt', 0.005117072414327802), ('naa', 0.004674035841658729), ('quaat', 0.004674035841658729), ('heren', 0.004629732184391821), ('zyn', 0.004607580355758368), ('elk', 0.004607580355758368), ('hunne', 0.004230999268989655), ('ja', 0.004208847440356201), ('ene', 0.00414239195445584), ('zelf', 0.004031632811288572), ('eeuwig', 0.003920873668121303), ('recht', 0.003876570010854396), ('opdat', 0.003655051724519859), ('steeds', 0.0035664444099860445), ('gunst', 0.003433533438185322), ('hemels', 0.003433533438185322), ('geven', 0.003433533438185322), ('dies', 0.0033006224663846002), ('vromen', 0.0030569523514166093), ('vijands', 0.002968345036882795)]
36	36	[('ziel', 0.01927710843373494), ('mijne', 0.017730456710563183), ('god', 0.009974782852339591), ('mijnen', 0.00871952927991034), ('woord', 0.00789016531241244), ('hert', 0.0074418604651162795), ('ziele', 0.006321098346875876), ('hand', 0.006287475483328663), ('ogen', 0.006197814513869431), ('recht', 0.006164191650322219), ('nacht', 0.006141776407957411), ('licht', 0.005951246847856542), ('geest', 0.0059176239843093306), ('wanneer', 0.0049985990473522), ('weg', 0.00494256094144018), ('kom', 0.004920145699075371), ('vast', 0.004841692350798543), ('mijns', 0.004707200896609694), ('wet', 0.004651162790697674), ('mond', 0.004628747548332866), ('dies', 0.00447184085177921), ('leven', 0.004427010367049593), ('steeds', 0.004393387503502382), ('wegen', 0.004158027458671897), ('zonden', 0.004023536004483049), ('weet', 0.0037881759596525635), ('zie', 0.0037433454749229477), ('doe', 0.0036760997478285234), ('gunst', 0.0036648921266461193), ('hulp', 0.003519193051274867)]
37	37	[('mei', 0.014878939537400243), ('vruchten', 0.010054556111637135), ('groen', 0.007957978267730736), ('groene', 0.007326750529780423), ('vrucht', 0.00667297894404617), ('schone', 0.006515172009558591), ('bomen', 0.006244645836151314), ('winter', 0.005996663510527977), ('boom', 0.005883944271608278), ('land', 0.005793768880472519), ('tijd', 0.005568330402633121), ('bloemen', 0.005139997294738266), ('veld', 0.005027278055818567), ('onder', 0.004801839577979169), ('hof', 0.00475675188241129), ('bloeien', 0.004553857252355832), ('groeien', 0.004463681861220073), ('zingen', 0.004373506470084314), ('zomer', 0.004373506470084314), ('boven', 0.004305874926732495), ('weder', 0.004215699535596736), ('elk', 0.004125524144460976), ('regen', 0.004057892601109158), ('kruid', 0.0040353487533252175), ('water', 0.0037422787321340005), ('lustig', 0.0036746471887821814), ('gras', 0.0036521033409982417), ('lof', 0.003449208710942784), ('zoeten', 0.003449208710942784), ('brengt', 0.0033815771675909643)]
38	38	[('min', 0.02311111111111111), ('hart', 0.011744990892531877), ('liefde', 0.010200364298724954), ('nog', 0.009078324225865209), ('hert', 0.008524590163934427), ('ziel', 0.008408014571948999), ('leven', 0.006309653916211294), ('vreugd', 0.005959927140255009), ('ach', 0.0054936247723132966), ('ogen', 0.005231329690346084), ('zie', 0.005056466302367941), ('zinnen', 0.004852459016393443), ('schone', 0.004663023679417122), ('wijl', 0.004517304189435337), ('mijne', 0.004473588342440801), ('alleen', 0.004284153005464481), ('dog', 0.0042112932604735885), ('zin', 0.0041092896174863384), ('oog', 0.004036429872495446), ('zou', 0.003992714025500911), ('minnen', 0.003599271402550091), ('hemel', 0.003570127504553734), ('nimmer', 0.0034681238615664844), ('lust', 0.003424408014571949), ('steeds', 0.003395264116575592), ('gemoed', 0.0033515482695810565), ('smert', 0.0032932604735883423), ('zig', 0.003249544626593807), ('word', 0.0032058287795992714), ('neen', 0.003191256830601093)]
39	39	[('ach', 0.020739095083769452), ('min', 0.02016650825097626), ('lief', 0.01930762800178647), ('hert', 0.01615840042142391), ('liefde', 0.010214949097030565), ('ziel', 0.008852192434982765), ('minne', 0.00824525039222198), ('pijn', 0.008073474342384023), ('hart', 0.007924601765857792), ('leven', 0.007535242719558421), ('zin', 0.007340563196408735), ('maagd', 0.006676362470368631), ('zoete', 0.006527489893842401), ('trouw', 0.006115227374231302), ('minnen', 0.005909096114425753), ('zinnen', 0.0056571579079967476), ('sou', 0.0053937679649118785), ('schone', 0.005382316228256015), ('smert', 0.004718115502215911), ('waarde', 0.004637953345624864), ('trouwe', 0.004237142562669629), ('waarom', 0.004225690826013765), ('beminde', 0.004065366512831671), ('liefd', 0.00397375261958476), ('vreugd', 0.003836331779714394), ('droeve', 0.00382488004305853), ('neen', 0.0037561696231233465), ('vrouw', 0.0037103626764998913), ('sterven', 0.0036989109398440274), ('verdriet', 0.0036760074665322996)]
40	40	[('sprak', 0.01465120927443534), ('christus', 0.013691784929042574), ('jesus', 0.010593643813711773), ('jezus', 0.01041375174895063), ('zeid', 0.008914651209274435), ('kwam', 0.006176294223465921), ('petrus', 0.00601639016590046), ('zeide', 0.005816510093943634), ('nog', 0.005736558065160904), ('joden', 0.005736558065160904), ('gods', 0.0050769538277033776), ('komen', 0.004937037777333599), ('waren', 0.004677193683789726), ('ander', 0.004577253647811313), ('hoort', 0.004497301619028583), ('zegt', 0.00439736158305017), ('woord', 0.004357385568658805), ('man', 0.004297421547071757), ('vader', 0.004277433539876074), ('twee', 0.0042574455326803914), ('mensen', 0.00423745752548471), ('water', 0.003997601439136518), ('geest', 0.0038576853887667397), ('zeiden', 0.0038177093743753747), ('woorden', 0.0036378173096142316), ('brood', 0.003617829302418549), ('klaar', 0.003597841295222866), ('enen', 0.0032980211872876276), ('voort', 0.003258045172896262), ('zeggen', 0.0031980811513092145)]
41	41	[('das', 0.025116401075480358), ('mein', 0.021116138763197588), ('vnnd', 0.017902813299232736), ('mir', 0.016787986097449012), ('ein', 0.014361597481802085), ('mik', 0.013705816774870483), ('jn', 0.011804052724768838), ('nitt', 0.011279428159223556), ('zei', 0.00983671060397403), ('mit', 0.008590727260803987), ('dir', 0.007803790412486065), ('sein', 0.007213587776247623), ('unde', 0.007213587776247623), ('und', 0.007148009705554462), ('dik', 0.006754541281395502), ('hertz', 0.006688963210702341), ('es', 0.0064266509279297), ('lieb', 0.00616433864515706), ('von', 0.005967604433077579), ('miin', 0.005836448291691258), ('jch', 0.005639714079611778), ('zie', 0.005639714079611778), ('mitt', 0.005508557938225457), ('dein', 0.005377401796839137), ('hab', 0.005311823726145977), ('zich', 0.005246245655452816), ('nicht', 0.005180667584759656), ('woll', 0.005049511443373336), ('mier', 0.004524886877828055), ('bei', 0.004459308807134894)]
42	42	[('zonden', 0.024672438893571375), ('kruis', 0.023082522412075705), ('bloed', 0.022182208259903455), ('jezus', 0.010439813041146273), ('lijden', 0.009884300053635737), ('jesu', 0.009673588230786912), ('vader', 0.009003141521722473), ('wonden', 0.008888207800168569), ('god', 0.008198605470845145), ('jesus', 0.00793042678721937), ('iesu', 0.007164201976860011), ('schuld', 0.0070109570147881385), ('leven', 0.006896023293234235), ('lam', 0.006570377748831507), ('ziel', 0.006110642862615891), ('liefde', 0.00519117309018466), ('zondaar', 0.004961305647076852), ('pijn', 0.004922994406558885), ('mens', 0.004731438203969045), ('kwaad', 0.004597348862156157), ('hoofd', 0.004482415140602253), ('vaders', 0.004405792659566317), ('verloren', 0.004080147115163589), ('christus', 0.003907746532832733), ('moeder', 0.003850279672055781), ('kruike', 0.0037353459505018775), ('zwaar', 0.0035437897479120373), ('hert', 0.0034480116466171174), ('zonde', 0.0033905447858401656), ('ogen', 0.0033905447858401656)]
43	43	[('le', 0.028509274101213646), ('vous', 0.027478818410808334), ('je', 0.02610487749026792), ('la', 0.022555530112205176), ('pour', 0.01877719258071903), ('mon', 0.01797572704373712), ('les', 0.016143805816349898), ('qui', 0.014655369819097779), ('ne', 0.012479963361575452), ('boire', 0.012021983054728647), ('si', 0.01144950767117014), ('viva', 0.010991527364323335), ('ma', 0.010762537210899932), ('est', 0.010533547057476528), ('bien', 0.009159606136936112), ('vos', 0.008701625830089306), ('il', 0.007671170139683993), ('du', 0.007556675062972292), ('bon', 0.007213189832837188), ('tont', 0.006755209525990382), ('suis', 0.00652621937256698), ('brand', 0.00652621937256698), ('ou', 0.006297229219143577), ('coeur', 0.006297229219143577), ('ce', 0.006068239065720174), ('viue', 0.00572475383558507), ('sans', 0.005495763682161667), ('pas', 0.005381268605449966), ('nous', 0.005266773528738264), ('dans', 0.005266773528738264)]
44	44	[('god', 0.022201609162952954), ('hemels', 0.017120041943094515), ('godes', 0.011070557157548748), ('sint', 0.009719505555443528), ('hart', 0.008691093141900749), ('gods', 0.008449113750478918), ('maagd', 0.007138392046944002), ('ziel', 0.005968824988405154), ('lof', 0.005868000241979391), ('deughden', 0.005706680647698171), ('grote', 0.0056461857998427135), ('wien', 0.00538404145913573), ('bidt', 0.004859752777721764), ('werelds', 0.004839587828436611), ('hof', 0.004315299147022646), ('moeder', 0.00427496924845234), ('vrouw', 0.004174144502026578), ('zonden', 0.00403298985703051), ('welk', 0.004012824907745357), ('ei', 0.003952330059889899), ('geweest', 0.0036296908713274586), ('leven', 0.003569196023472001), ('och', 0.0034885362263313907), ('engel', 0.0033675465306204754), ('hemel', 0.0031860619870541025), ('deugd', 0.0030247423927728823), ('iesu', 0.002802927950636204), ('vroom', 0.002802927950636204), ('waarde', 0.002782763001351052), ('hare', 0.0027222681534955937)]
45	45	"[('dij', 0.03001997415109858), ('yn', 0.01662554341440489), ('soe', 0.015744330865938197), ('uwz', 0.012983198214075902), ('jon', 0.012454470684995887), ('fen', 0.012043238162378098), ('mei', 0.011573258136529197), ('god', 0.011455763130066972), ('nat', 0.009517095523440254), ('amor', 0.008342145458818), ('heiligt', 0.007813417929737986), ('ja', 0.007402185407120197), ('hert', 0.0068734578780401834), ('sil', 0.006638467865115733), ('uwt', 0.006462225355422395), ('oon', 0.0062272353424979434), ('dear', 0.006109740336035718), ('oer', 0.00593349782634238), ('ney', 0.005404770297262366), ('schoen', 0.005346022794031254), ('sij', 0.005169780284337916), ('est', 0.004934790271413465), ('ho', 0.0048760427681823525), (""'re"", 0.004641052755257902), ('trog', 0.004464810245564563), ('wol', 0.0044060627423334504), ('goads', 0.0044060627423334504), ('doer', 0.004288567735871225), ('ynn', 0.004288567735871225), ('qua', 0.0035248501938667607)]"
46	46	[('wereld', 0.02688411344739794), ('god', 0.02430252639450211), ('leven', 0.023394519913828404), ('tijd', 0.021133405736464474), ('eeuwig', 0.01630850855484537), ('kwaad', 0.010700233233037192), ('sterven', 0.01064682108711521), ('werelds', 0.010219523919739348), ('zonden', 0.010005875336051418), ('mens', 0.009631990314597539), ('mensen', 0.008919828368971105), ('haast', 0.0088308081257678), ('pijn', 0.006338241316075276), ('vreugd', 0.0061602008296686665), ('ziel', 0.005946552245980736), ('och', 0.0058041198568554485), ('vlees', 0.00502074171666637), ('leeft', 0.004593444549290508), ('bereid', 0.004397600014243239), ('vergat', 0.004379795965602578), ('geven', 0.004237363576477291), ('vergaan', 0.0041305392846333255), ('ijdelheid', 0.004094931187352004), ('daarom', 0.003899086652304734), ('oordeel', 0.003899086652304734), ('ijdel', 0.0038456745063827516), ('denkt', 0.003738850214538786), ('loon', 0.0036676340199761426), ('helsche', 0.003471789484928873), ('vier', 0.0033649651930849076)]
47	47	[('vee', 0.01389297574509227), ('herder', 0.013388540922275), ('groene', 0.011223674807684225), ('zoete', 0.009290007986884695), ('veld', 0.008890663752154356), ('harder', 0.007902812224137206), ('herders', 0.00716717810752869), ('schaepjes', 0.006452562108537559), ('coridon', 0.006368489638068015), ('zon', 0.006263399049981084), ('groen', 0.006263399049981084), ('onder', 0.0059901635209550635), ('lief', 0.005569801168607339), ('herderin', 0.005422674345285637), ('bos', 0.005275547521963933), ('wout', 0.0051494388162596156), ('weiden', 0.005086384463407458), ('gras', 0.0050443482281726845), ('ei', 0.0050443482281726845), ('langs', 0.00451889528773803), ('bomen', 0.0044138046996510995), ('vreugd', 0.004350750346798941), ('harders', 0.00424565975871201), ('kloris', 0.004224641641094624), ('lieve', 0.004161587288242465), ('tyter', 0.004161587288242465), ('lust', 0.004161587288242465), ('dal', 0.003930387994451217), ('ach', 0.003909369876833831), ('mee', 0.003909369876833831)]
48	48	[('liefde', 0.054379992815477514), ('hert', 0.03847140731110693), ('liefd', 0.02295625994286594), ('ziel', 0.01725995997194615), ('herte', 0.010964949793872629), ('ziele', 0.009613575326297063), ('lief', 0.007851656716673224), ('alleen', 0.007749020681161156), ('zoete', 0.007629278639730409), ('iesu', 0.007201628491763458), ('zinnen', 0.007116098462170068), ('vreugd', 0.006414752219504268), ('rust', 0.006363434201748234), ('binnen', 0.006329222189910878), ('mijnen', 0.006243692160317487), ('herten', 0.006072632101130707), ('beminnen', 0.005627875947245078), ('geest', 0.005542345917651688), ('brand', 0.0054910278998956535), ('boven', 0.005388391864383585), ('min', 0.005217331805196805), ('liefden', 0.005183119793359448), ('wanneer', 0.005097589763766059), ('och', 0.004943635710497956), ('zielen', 0.004858105680904566), ('vier', 0.004772575651311175), ('minnen', 0.004601515592124395), ('jezus', 0.004396243521100259), ('zin', 0.00429360748558819), ('lust', 0.004156759438238766)]
