	topic	words
10	10	[('och', 0.014666549468212012), ('lijden', 0.01395080176299961), ('ach', 0.013159712194080641), ('hert', 0.012004470283913257), ('pijn', 0.011150595828572146), ('verdriet', 0.010698544646332735), ('ziel', 0.010434848123359744), ('druk', 0.01025905044137775), ('tranen', 0.010246493464093323), ('droefheid', 0.009857227168276052), ('leven', 0.009769328327285056), ('troost', 0.009128922485779224), ('klagen', 0.008488516644273391), ('zwaar', 0.007245375893115009), ('smert', 0.007094692165701872), ('droeve', 0.006642640983462461), ('zuchten', 0.006554742142471464), ('sterven', 0.006052463051094341), ('droevig', 0.005763652573552495), ('waarom', 0.005286487436744227), ('noot', 0.005035347891055665), ('ogen', 0.005022790913771237), ('vreugd', 0.004972563004633525), ('wee', 0.0048218792772203875), ('droef', 0.004809322299935959), ('lang', 0.004420056004118688), ('dagen', 0.00440749902683426), ('haast', 0.004394942049549833), ('wenen', 0.004394942049549833), ('bitter', 0.004206587390283411)]
11	11	"[('mee', 0.00837159060221442), (""'er"", 0.0070213340534701595), ('twee', 0.005833108290575209), ('ieder', 0.005238995409127734), ('deur', 0.005211990278152849), ('mof', 0.004833918444504456), ('geld', 0.004617877396705374), ('klok', 0.004023764515257899), ('net', 0.003915743991358358), ('je', 0.003888738860383473), ('er', 0.003861733729408588), ('heel', 0.003780718336483932), ('gat', 0.0036456926816095057), ('kleur', 0.003429651633810424), ('neus', 0.0032406157169862274), ('houje', 0.0030245746691871457), ('lopen', 0.002970564407237375), ('schier', 0.002835538752362949), ('menig', 0.0027545233594382934), ('lijf', 0.0027005130974885228), ('vier', 0.002619497704563867), ('kermis', 0.002565487442614097), ('haag', 0.002484472049689441), ('ja', 0.0024574669187145556), ('zes', 0.0024574669187145556), ('leen', 0.0024574669187145556), ('jaar', 0.0024304617877396704), ('spelen', 0.0024034566567647853), ('tussen', 0.0022144207399405888), ('kom', 0.0021874156089657037)]"
12	12	[('vreugd', 0.0201193046973552), ('man', 0.014645827542708089), ('bruid', 0.014453400611490025), ('twee', 0.011802185114707832), ('bruidegom', 0.01160975818348977), ('geluk', 0.009022684997113596), ('paar', 0.008808877295760194), ('bruyt', 0.00850954651386543), ('deugd', 0.008124692651429304), ('trouw', 0.008103311881293963), ('vrouw', 0.007953646490346583), ('liefde', 0.00786812340980522), ('zoete', 0.007697077248722499), ('vrede', 0.007654315708451818), ('leven', 0.007504650317504437), ('zegen', 0.00699151183425627), ('liefd', 0.006905988753714909), ('wens', 0.006734942592632186), ('wensen', 0.006628038741955485), ('echt', 0.006050757948301298), ('god', 0.005537619465053131), ('elk', 0.005409334844241089), ('vreugde', 0.00538795407410575), ('vree', 0.0053451925338350685), ('jonge', 0.0051741463727523465), ('bruiloft', 0.005152765602617006), ('band', 0.005067242522075645), ('tijd', 0.004874815590857583), ('trouwen', 0.004789292510316221), ('mee', 0.004703769429774861)]
13	13	[('gods', 0.011781986374148384), ('oft', 0.008365106152467862), ('elk', 0.008156759797487343), ('god', 0.008146342479738318), ('woord', 0.006406650415650978), ('heren', 0.004594037127320458), ('geest', 0.00435443881909286), ('enen', 0.004260682959351626), ('rein', 0.0040940058753672105), ('leven', 0.003979415380127925), ('klaar', 0.003958580744629873), ('recht', 0.003833572931641561), ('kwaad', 0.0036252265766610415), ('eeuwig', 0.0036043919411629893), ('zwaar', 0.0035939746234139635), ('vast', 0.0035210533991707816), ('herte', 0.0035106360814217553), ('fijn', 0.0035002187636727295), ('zijnen', 0.0033647936329353916), ('noot', 0.003271037773194158), ('tijd', 0.003218951184449028), ('snel', 0.0030626914182136384), ('liefde', 0.0029376836052253264), ('broeders', 0.0028335104277350666), ('blijft', 0.0028230931099860407), ('vroed', 0.002812675792237015), ('zulk', 0.002771006521240911), ('bloot', 0.002698085296997729), ('onder', 0.002698085296997729), ('niemand', 0.002666833343750651)]
14	14	[('venus', 0.010430498624020937), ('licht', 0.008024940823278101), ('schoonheid', 0.007909474048842445), ('gezicht', 0.007139695552604738), ('glans', 0.006600850605238343), ('zon', 0.006504628293208629), ('goden', 0.005734849796970922), ('ogen', 0.005272982699228297), ('schone', 0.005234493774416412), ('stralen', 0.005196004849604526), ('cupido', 0.005176760387198584), ('min', 0.0050997825375748125), ('wiens', 0.004965071300733214), ('maagd', 0.004945826838327272), ('lof', 0.004233781729307392), ('brand', 0.004099070492465793), ('kracht', 0.00407982603005985), ('oog', 0.004002848180436079), ('vier', 0.003656447857129111), ('hoofd', 0.0035024921578815696), ('hemel', 0.0033677809210399708), ('gulde', 0.0033100475338221427), ('wit', 0.0032523141466043147), ('pijl', 0.0032523141466043147), ('ieder', 0.003213825221792429), ('phoebus', 0.003021380597733002), ('jeugd', 0.002982891672921117), ('hoog', 0.0029444027481092317), ('boog', 0.002905913823297346), ('schicht', 0.002867424898485461)]
15	15	[('god', 0.021100836376487218), ('sprak', 0.016462480857580397), ('kwam', 0.009041112027329485), ('zijnen', 0.008569914006361173), ('enen', 0.007333019201319354), ('gods', 0.007067970314524679), ('volk', 0.006405348097537991), ('waren', 0.006258098715985393), ('ginck', 0.006184474025209094), ('man', 0.0059635999528801975), ('heren', 0.005595476498998705), ('alzo', 0.005477676993756626), ('hadde', 0.005359877488514548), ('vader', 0.005065378725409353), ('coninck', 0.005050653787254094), ('liet', 0.004785604900459418), ('israel', 0.004785604900459418), ('dede', 0.004446931322888444), ('doe', 0.004432206384733184), ('land', 0.004343856755801625), ('haren', 0.004152432559783249), ('zoude', 0.004152432559783249), ('kwamen', 0.003931558487454353), ('abraham', 0.0038432088585227944), ('gaf', 0.003725409353280716), ('stad', 0.00348981034279656), ('twee', 0.0034750854046413007), ('huis', 0.003445635528330781), ('tegen', 0.0034014607138650016), ('gingen', 0.0034014607138650016)]
16	16	[('kwaad', 0.012762315252113042), ('elk', 0.011493725831843124), ('zich', 0.01120332584407049), ('recht', 0.00829932596634417), ('licht', 0.008146483867516468), ('waarheid', 0.007917220719274917), ('mens', 0.007061304965839791), ('eigen', 0.006358231311232366), ('schijn', 0.0058844208048664925), ('haat', 0.005838568175218182), ('reden', 0.00551759976768001), ('mensen', 0.005334189249086768), ('zoekt', 0.004661684014244883), ('lust', 0.0045241261252999525), ('weet', 0.004493557705534413), ('verstand', 0.004493557705534413), ('zelf', 0.004417136656120562), ('niemand', 0.004340715606706711), ('kwade', 0.00423372613752732), ('ieder', 0.003989178779402999), ('anders', 0.003989178779402999), ('quaat', 0.003897473520106378), ('hert', 0.0038210524706925276), ('zelfs', 0.003744631421278677), ('wijsheid', 0.0036682103718648266), ('daad', 0.0036682103718648266), ('werk', 0.003652926161982056), ('zulk', 0.003591789322450976), ('waan', 0.003500084063154355), ('mond', 0.003484799853271585)]
17	17	"[('vrolijk', 0.023065833733781835), ('hemels', 0.022264936729136632), ('hemel', 0.01659000938193634), ('vreugd', 0.011212558065032836), ('boven', 0.010686254319123132), ('zon', 0.010480309375071509), ('eeuwig', 0.009999771172284387), ('ziel', 0.008786984279535937), ('hert', 0.007963204503329444), ('oog', 0.007825907873961695), ('licht', 0.006452941580284204), ('zien', 0.006430058808722912), ('hoog', 0.006338527722477746), ('heil', 0.006155465549987415), ('gods', 0.006132582778426123), ('glans', 0.0060181689206196655), ('lof', 0.005995286149058374), ('zingen', 0.00578934120500675), ('leven', 0.005743575661884167), ('ligt', 0.005446099631587378), ('werelds', 0.005034209743484131), ('heerlijk', 0.004462140454451843), ('nog', 0.004279078281961511), ('heerlijkheid', 0.004233312738838928), ('zalig', 0.004210429967277636), ('vreugde', 0.004187547195716345), ('sig', 0.004141781652593762), ('loven', 0.004073133337909888), (""'re"", 0.0040502505663485965), ('lang', 0.00395871948010343)]"
18	18	[('god', 0.055572981195991404), ('gods', 0.03077019588162414), ('mens', 0.010335147342502706), ('leven', 0.010327305804306573), ('woord', 0.007794488966955758), ('geest', 0.007723915123190565), ('godes', 0.007222056678638082), ('hert', 0.007065225914715431), ('recht', 0.0069946520709502375), ('heren', 0.0068613459216159845), ('wet', 0.006484952088201622), ('kwaad', 0.006147765945767922), ('eeuwig', 0.005222464438624281), ('zonden', 0.005167573671251353), ('mensen', 0.005144049056662955), ('geloof', 0.005144049056662955), ('vreugd', 0.004893119834386713), ('deugd', 0.004846070605209918), ('vast', 0.004218747549519314), ('alleen', 0.004203064473127048), ('ziel', 0.0037168891049668305), ('christi', 0.003599266032024842), ('zelfs', 0.003560058341044179), ('geven', 0.0035208506500635163), ('heilig', 0.0033797029625331305), ('leer', 0.00331697065696407), ('lust', 0.003301287580571805), ('kracht', 0.003246396813198877), ('tijd', 0.0032150306604143467), ('denkt', 0.0032071891222182143)]
19	19	[('leven', 0.013134194461771364), ('zullen', 0.009980305716948999), ('geven', 0.009461666234467097), ('komen', 0.009328502043019042), ('tijd', 0.0070647107884021), ('maken', 0.006665218214057933), ('dagen', 0.006027431823438299), ('laten', 0.005908284915300566), ('niemand', 0.005046221991715786), ('moeten', 0.005011178783439981), ('zien', 0.00499716150012966), ('blijven', 0.004856988667026443), ('dragen', 0.004702798550612905), ('god', 0.004317323259579061), ('ander', 0.00422621091806197), ('behagen', 0.00421920227640681), ('konnen', 0.00413509857654488), ('mensen', 0.004093046726613915), ('horen', 0.004086038084958754), ('weten', 0.004043986235027789), ('daarom', 0.003959882535165859), ('sou', 0.003917830685234895), ('willen', 0.0037285973605455528), ('boven', 0.0036655195856491055), ('dingen', 0.0035463726775113716), ('werken', 0.0035253467525458893), ('spreken', 0.0034482516943391203), ('tijden', 0.0034061998444081553), ('allen', 0.003378165277787512), ('reden', 0.0033711566361323514)]
