Appendix.Fifty most dominant topics in the Dutch Song Database, by sum of weights (>= 0.1) and corresponding words;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Topic;Sum of weights;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight
10;0,2349410450;och;0,014666549; lijden;0,013950802; ach;0,013159712; hert;0,012004470; pijn;0,011150596; verdriet;0,010698545; ziel;0,010434848; druk;0,010259050; tranen;0,010246493; droefheid;0,009857227; leven;0,009769328; troost;0,009128922; klagen;0,008488517; zwaar;0,007245376; smert;0,0070946922; droeve;0,006642641; zuchten;0,006554742; sterven;0,006052463; droevig;0,005763653; waarom;0,005286487; noot;0,005035348; ogen;0,005022791; vreugd;0,004972563; wee;0,004821879; droef;0,004809322; lang;0,004420056; dagen;0,004407499; haast;0,004394942; wenen;0,0043949420; bitter;0,004206587
11;0,1094788010;mee;0,008371591; er;0,007021334; twee;0,005833108; ieder;0,005238995; deur;0,005211990; mof;0,004833918; geld;0,004617877; klok;0,004023765; net;0,003915744; je;0,003888739; er;0,003861734; heel;0,003780718; gat;0,003645693; kleur;0,003429652; neus;0,0032406157; houje;0,003024575; lopen;0,002970564; schier;0,002835539; menig;0,002754523; lijf;0,002700513; vier;0,002619498; kermis;0,002565487; haag;0,002484472; ja;0,002457467; zes;0,002457467; leen;0,002457467; jaar;0,002430462; spelen;0,002403457; tussen;0,0022144207; kom;0,002187416
12;0,2386307755;vreugd;0,020119305; man;0,014645828; bruid;0,014453401; twee;0,011802185; bruidegom;0,011609758; geluk;0,009022685; paar;0,008808877; bruyt;0,008509547; deugd;0,008124693; trouw;0,008103312; vrouw;0,007953646; liefde;0,007868123; zoete;0,007697077; vrede;0,007654316; leven;0,0075046503; zegen;0,006991512; liefd;0,006905989; wens;0,006734943; wensen;0,006628039; echt;0,006050758; god;0,005537619; elk;0,005409335; vreugde;0,005387954; vree;0,005345193; jonge;0,005174146; bruiloft;0,005152766; band;0,005067243; tijd;0,004874816; trouwen;0,0047892925; mee;0,004703769
13;0,1284455278;gods;0,011781986; oft;0,008365106; elk;0,008156760; god;0,008146342; woord;0,006406650; heren;0,004594037; geest;0,004354439; enen;0,004260683; rein;0,004094006; leven;0,003979415; klaar;0,003958581; recht;0,003833573; kwaad;0,003625227; eeuwig;0,003604392; zwaar;0,0035939746; vast;0,003521053; herte;0,003510636; fijn;0,003500219; zijnen;0,003364794; noot;0,003271038; tijd;0,003218951; snel;0,003062691; liefde;0,002937684; broeders;0,002833510; blijft;0,002823093; vroed;0,002812676; zulk;0,002771007; bloot;0,002698085; onder;0,0026980853; niemand;0,002666833
14;0,1429286223;venus;0,010430499; licht;0,008024941; schoonheid;0,007909474; gezicht;0,007139696; glans;0,006600851; zon;0,006504628; goden;0,005734850; ogen;0,005272983; schone;0,005234494; stralen;0,005196005; cupido;0,005176760; min;0,005099783; wiens;0,004965071; maagd;0,004945827; lof;0,0042337817; brand;0,004099070; kracht;0,004079826; oog;0,004002848; vier;0,003656448; hoofd;0,003502492; hemel;0,003367781; gulde;0,003310048; wit;0,003252314; pijl;0,003252314; ieder;0,003213825; phoebus;0,003021381; jeugd;0,002982892; hoog;0,002944403; boog;0,0029059138; schicht;0,002867425
15;0,1807486159;god;0,021100836; sprak;0,016462481; kwam;0,009041112; zijnen;0,008569914; enen;0,007333019; gods;0,007067970; volk;0,006405348; waren;0,006258099; ginck;0,006184474; man;0,005963600; heren;0,005595476; alzo;0,005477677; hadde;0,005359877; vader;0,005065379; coninck;0,0050506538; liet;0,004785605; israel;0,004785605; dede;0,004446931; doe;0,004432206; land;0,004343857; haren;0,004152433; zoude;0,004152433; kwamen;0,003931558; abraham;0,003843209; gaf;0,003725409; stad;0,003489810; twee;0,003475085; huis;0,003445636; tegen;0,0034014607; gingen;0,003401461
16;0,1679887508;kwaad;0,012762315; elk;0,011493726; zich;0,011203326; recht;0,008299326; licht;0,008146484; waarheid;0,007917221; mens;0,007061305; eigen;0,006358231; schijn;0,005884421; haat;0,005838568; reden;0,005517600; mensen;0,005334189; zoekt;0,004661684; lust;0,004524126; weet;0,0044935577; verstand;0,004493558; zelf;0,004417137; niemand;0,004340716; kwade;0,004233726; ieder;0,003989179; anders;0,003989179; quaat;0,003897474; hert;0,003821052; zelfs;0,003744631; wijsheid;0,003668210; daad;0,003668210; werk;0,003652926; zulk;0,003591789; waan;0,0035000841; mond;0,003484800
17;0,2320084209;vrolijk;0,023065834; hemels;0,022264937; hemel;0,016590009; vreugd;0,011212558; boven;0,010686254; zon;0,010480309; eeuwig;0,009999771; ziel;0,008786984; hert;0,007963205; oog;0,007825908; licht;0,006452942; zien;0,006430059; hoog;0,006338528; heil;0,006155466; gods;0,0061325828; glans;0,006018169; lof;0,005995286; zingen;0,005789341; leven;0,005743576; ligt;0,005446100; werelds;0,005034210; heerlijk;0,004462140; nog;0,004279078; heerlijkheid;0,004233313; zalig;0,004210430; vreugde;0,004187547; sig;0,004141782; loven;0,004073133; re;0,0040502506; lang;0,003958719
18;0,2362028135;god;0,055572981; gods;0,030770196; mens;0,010335147; leven;0,010327306; woord;0,007794489; geest;0,007723915; godes;0,007222057; hert;0,007065226; recht;0,006994652; heren;0,006861346; wet;0,006484952; kwaad;0,006147766; eeuwig;0,005222464; zonden;0,005167574; mensen;0,0051440491; geloof;0,005144049; vreugd;0,004893120; deugd;0,004846071; vast;0,004218748; alleen;0,004203064; ziel;0,003716889; christi;0,003599266; zelfs;0,003560058; geven;0,003520851; heilig;0,003379703; leer;0,003316971; lust;0,003301288; kracht;0,003246397; tijd;0,0032150307; denkt;0,003207189
19;0,1572528928;leven;0,013134194; zullen;0,009980306; geven;0,009461666; komen;0,009328502; tijd;0,007064711; maken;0,006665218; dagen;0,006027432; laten;0,005908285; niemand;0,005046222; moeten;0,005011179; zien;0,004997162; blijven;0,004856989; dragen;0,004702799; god;0,004317323; ander;0,0042262109; behagen;0,004219202; konnen;0,004135099; mensen;0,004093047; horen;0,004086038; weten;0,004043986; daarom;0,003959883; sou;0,003917831; willen;0,003728597; boven;0,003665520; dingen;0,003546373; werken;0,003525347; spreken;0,003448252; tijden;0,003406200; allen;0,0033781653; reden;0,003371157
