Appendix.Fifty most dominant topics in the Dutch Song Database, by sum of weights (>= 0.1) and corresponding words;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Topic;Sum of weights;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight
40;0,1696182291;sprak;0,014651209; christus;0,013691785; jesus;0,010593644; jezus;0,010413752; zeid;0,008914651; kwam;0,006176294; petrus;0,006016390; zeide;0,005816510; nog;0,005736558; joden;0,005736558; gods;0,005076954; komen;0,004937038; waren;0,004677194; ander;0,004577254; hoort;0,0044973016; zegt;0,004397362; woord;0,004357386; man;0,004297422; vader;0,004277434; twee;0,004257446; mensen;0,004237458; water;0,003997601; geest;0,003857685; zeiden;0,003817709; woorden;0,003637817; brood;0,003617829; klaar;0,003597841; enen;0,003298021; voort;0,0032580452; zeggen;0,003198081
41;0,2696570267;das;0,025116401; mein;0,021116139; vnnd;0,017902813; mir;0,016787986; ein;0,014361597; mik;0,013705817; jn;0,011804053; nitt;0,011279428; zei;0,009836711; mit;0,008590727; dir;0,007803790; sein;0,007213588; unde;0,007213588; und;0,007148010; dik;0,0067545413; hertz;0,006688963; es;0,006426651; lieb;0,006164339; von;0,005967604; miin;0,005836448; jch;0,005639714; zie;0,005639714; mitt;0,005508558; dein;0,005377402; hab;0,005311824; zich;0,005246246; nicht;0,005180668; woll;0,005049511; mier;0,0045248869; bei;0,004459309
42;0,2303463336;zonden;0,024672439; kruis;0,023082522; bloed;0,022182208; jezus;0,010439813; lijden;0,009884300; jesu;0,009673588; vader;0,009003142; wonden;0,008888208; god;0,008198605; jesus;0,007930427; iesu;0,007164202; schuld;0,007010957; leven;0,006896023; lam;0,006570378; ziel;0,0061106429; liefde;0,005191173; zondaar;0,004961306; pijn;0,004922994; mens;0,004731438; kwaad;0,004597349; hoofd;0,004482415; vaders;0,004405793; verloren;0,004080147; christus;0,003907747; moeder;0,003850280; kruike;0,003735346; zwaar;0,003543790; hert;0,003448012; zonde;0,0033905448; ogen;0,003390545
43;0,3463476071;le;0,028509274; vous;0,027478818; je;0,026104877; la;0,022555530; pour;0,018777193; mon;0,017975727; les;0,016143806; qui;0,014655370; ne;0,012479963; boire;0,012021983; si;0,011449508; viva;0,010991527; ma;0,010762537; est;0,010533547; bien;0,0091596061; vos;0,008701626; il;0,007671170; du;0,007556675; bon;0,007213190; tont;0,006755210; suis;0,006526219; brand;0,006526219; ou;0,006297229; coeur;0,006297229; ce;0,006068239; viue;0,005724754; sans;0,005495764; pas;0,005381269; nous;0,0052667735; dans;0,005266774
44;0,1788026053;god;0,022201609; hemels;0,017120042; godes;0,011070557; sint;0,009719506; hart;0,008691093; gods;0,008449114; maagd;0,007138392; ziel;0,005968825; lof;0,005868000; deughden;0,005706681; grote;0,005646186; wien;0,005384041; bidt;0,004859753; werelds;0,004839588; hof;0,0043152991; moeder;0,004274969; vrouw;0,004174145; zonden;0,004032990; welk;0,004012825; ei;0,003952330; geweest;0,003629691; leven;0,003569196; och;0,003488536; engel;0,003367547; hemel;0,003186062; deugd;0,003024742; iesu;0,002802928; vroom;0,002802928; waarde;0,0027827630; hare;0,002722268
45;0,2499706262;dij;0,030019974; yn;0,016625543; soe;0,015744331; uwz;0,012983198; jon;0,012454471; fen;0,012043238; mei;0,011573258; god;0,011455763; nat;0,009517096; amor;0,008342145; heiligt;0,007813418; ja;0,007402185; hert;0,006873458; sil;0,006638468; uwt;0,0064622254; oon;0,006227235; dear;0,006109740; oer;0,005933498; ney;0,005404770; schoen;0,005346023; sij;0,005169780; est;0,004934790; ho;0,004876043; re;0,004641053; trog;0,004464810; wol;0,004406063; goads;0,004406063; doer;0,004288568; ynn;0,0042885677; qua;0,003524850
46;0,2619687717;wereld;0,026884113; god;0,024302526; leven;0,023394520; tijd;0,021133406; eeuwig;0,016308509; kwaad;0,010700233; sterven;0,010646821; werelds;0,010219524; zonden;0,010005875; mens;0,009631990; mensen;0,008919828; haast;0,008830808; pijn;0,006338241; vreugd;0,006160201; ziel;0,0059465522; och;0,005804120; vlees;0,005020742; leeft;0,004593445; bereid;0,004397600; vergat;0,004379796; geven;0,004237364; vergaan;0,004130539; ijdelheid;0,004094931; daarom;0,003899087; oordeel;0,003899087; ijdel;0,003845675; denkt;0,003738850; loon;0,003667634; helsche;0,0034717895; vier;0,003364965
47;0,1856740510;vee;0,013892976; herder;0,013388541; groene;0,011223675; zoete;0,009290008; veld;0,008890664; harder;0,007902812; herders;0,007167178; schaepjes;0,006452562; coridon;0,006368490; zon;0,006263399; groen;0,006263399; onder;0,005990164; lief;0,005569801; herderin;0,005422674; bos;0,0052755475; wout;0,005149439; weiden;0,005086384; gras;0,005044348; ei;0,005044348; langs;0,004518895; bomen;0,004413805; vreugd;0,004350750; harders;0,004245660; kloris;0,004224642; lieve;0,004161587; tyter;0,004161587; lust;0,004161587; dal;0,003930388; ach;0,0039093699; mee;0,003909370
48;0,2921876871;liefde;0,054379993; hert;0,038471407; liefd;0,022956260; ziel;0,017259960; herte;0,010964950; ziele;0,009613575; lief;0,007851657; alleen;0,007749021; zoete;0,007629279; iesu;0,007201628; zinnen;0,007116098; vreugd;0,006414752; rust;0,006363434; binnen;0,006329222; mijnen;0,0062436922; herten;0,006072632; beminnen;0,005627876; geest;0,005542346; brand;0,005491028; boven;0,005388392; min;0,005217332; liefden;0,005183120; wanneer;0,005097590; och;0,004943636; zielen;0,004858106; vier;0,004772576; minnen;0,004601516; jezus;0,004396244; zin;0,0042936075; lust;0,004156759
49;0,2164785553;god;0,032372859; lof;0,014486788; zijnen;0,011127340; volk;0,011087505; naam;0,010197849; heren;0,009387863; zijne;0,009042624; hoog;0,008020183; hemel;0,007728057; looft;0,007223476; macht;0,007077413; hand;0,006838401; grote;0,006373656; land;0,006015137; boven;0,0054308857; zee;0,005244987; kracht;0,005165317; volken;0,004674014; koning;0,004647457; gods;0,004567786; huis;0,004448280; zingen;0,004036649; zingt;0,004036649; troon;0,004036649; onzen;0,003970256; onder;0,003956978; ere;0,003903864; goedheid;0,003837472; aarde;0,0037843580; werken;0,003757801
